iata_code,type,name,scheduled_service
APP,small_airport,Asapa Airport,no
AQY,small_airport,Girdwood-Alyeska Airport,no
QRF,small_airport,Bragado Airport,no
CVI,small_airport,Caleta Olivia Airport,no
CNT,small_airport,Charata Airport,no
VGS,small_airport,General Villegas Airport,no
LMD,small_airport,Los Menucos Airport,no
VCF,small_airport,Valcheta Airport,no
CPG,small_airport,Carmen de Patagones Airport,no
ARP,small_airport,Aragip Airport,no
ASZ,small_airport,Asirim Airport,no
WFR,medium_airport,Wolf's Fang Runway,no
LYT,small_airport,Lady Elliot Island Airstrip,no
GYZ,small_airport,Gruyere Airport,yes
AGW,small_airport,Agnew Airport,no
AYD,small_airport,Alroy Downs Airport,no
BYX,small_airport,Baniyala Airport,no
COB,small_airport,Coolibah Airport,no
CRJ,small_airport,Coorabie Airport,no
CRY,small_airport,Carlton Hill Airport,no
CSD,small_airport,Cresswell Downs Airport,no
DYM,small_airport,Diamantina Lakes Airport,no
HIS,seaplane_base,Hayman Island Resort Seaplane Base,yes
HLV,small_airport,Helenvale Airport,no
KBD,small_airport,Kimberley Downs Airport,no
KGR,small_airport,Kulgera Airport,no
PEP,small_airport,Peppimenarti Airport,no
RDA,small_airport,Rockhampton Downs Airport,no
SSK,small_airport,Sturt Creek Airport,no
SWB,small_airport,Shaw River Airport,no
TWP,small_airport,Torwood Airport,no
ZVG,small_airport,Springvale Airport,no
AWR,small_airport,Awar Airport (unusable),no
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,yes
AXO,small_airport,Pantar Kabir Airport,no
AMF,small_airport,Ama Airport,no
UAE,small_airport,Mount Aue Airport,no
AFR,small_airport,Afore Airstrip,no
AUP,small_airport,Agaun Airport,no
ATP,small_airport,Aitape Airport,no
AIH,small_airport,Aiambak Airport,no
AMU,small_airport,Amanab Airport,no
ADC,small_airport,Andakombe Airport,no
AIE,small_airport,Aiome Airport,no
KPM,small_airport,Kompiam Airport,no
AUJ,small_airport,Ambunti Airport,no
AWB,small_airport,Awaba Airport,no
AEK,small_airport,Aseki Airport,no
AYU,small_airport,Aiyura Airport,no
VMU,medium_airport,Baimuru Airport,yes
BCP,small_airport,Bambu Airport,no
BNM,small_airport,Bodinumu Airport,no
BMZ,small_airport,Bamu Airport,no
BDZ,small_airport,Baindoung Airport,no
BSP,small_airport,Bensbach Airport,no
BWP,small_airport,Bewani Airport,no
BUA,medium_airport,Buka Airport,yes
BAA,small_airport,Bialla Airport,no
OPU,medium_airport,Balimo Airport,yes
BMH,small_airport,Bomai Airport,no
BPD,small_airport,Bapi Airstrip,no
BPK,small_airport,Biangabip Airport,no
BRP,small_airport,Biaru Airport,no
BUL,small_airport,Bulolo Airport,no
XBN,small_airport,Biniguni Airport,no
CVB,small_airport,Chungribu Airport,no
CGC,small_airport,Cape Gloucester Airport,no
CMU,medium_airport,Chimbu Airport,yes
SQT,small_airport,China Strait Airstrip,no
DBP,small_airport,Debepare Airport,no
DER,small_airport,Derim Airport,no
BNT,small_airport,Bundi Airport,no
MDM,small_airport,Munduku Airport,no
KPF,small_airport,Kondobol Airport,no
DNU,small_airport,Dinangat Airport,no
DOI,small_airport,Doini Airport,no
DOO,small_airport,Dorobisoro Airport,no
DAU,medium_airport,Daru Airport,yes
KRU,small_airport,Kerau Airport,no
EMS,small_airport,Embessa Airport,no
XYR,small_airport,Edwaki Airport,no
EMI,small_airport,Emirau Airport,no
EFG,small_airport,Efogi Airport,no
MHY,small_airport,Morehead Airport,no
EPT,small_airport,Eliptamin Airport,no
EGA,small_airport,Engati Airstrip,no
EMO,small_airport,Emo River Airstrip,no
ERU,small_airport,Erume Airport,no
MFZ,small_airport,Meselia Airport,no
BOT,small_airport,Bosset Airport,yes
ERE,small_airport,Erave Airport,no
SWE,small_airport,Siwea Airport,no
FNE,small_airport,Fane Airport,no
FRQ,small_airport,Feramin Airport,no
FIN,small_airport,Finschhafen Airport,no
FAQ,small_airport,Frieda River Airport,no
FUM,small_airport,Fuma Airport,no
GKA,medium_airport,Goroka Airport,yes
GEW,small_airport,Gewoia Airport,no
GUG,small_airport,Guari Airport,no
GRL,small_airport,Garasa Airport,no
GAR,small_airport,Garaina Airport,no
GAZ,small_airport,Guasopa Airport,no
GOE,small_airport,Gonaili Airport,no
GUR,medium_airport,Gurney Airport,yes
GAP,small_airport,Gusap Airport,no
PNP,medium_airport,Girua Airport,yes
GBC,small_airport,Gasuke Airport,no
GMI,small_airport,Gasmata Island Airport,yes
AKG,small_airport,Anguganak Airport,no
GVI,small_airport,Green River Airport,no
GOC,small_airport,Gora Airstrip,no
HBD,small_airport,Habi Airport,no
HNI,small_airport,Heiweni Airport,no
HYF,small_airport,Hayfields Airport,no
HNN,small_airport,Honinabi Airport,no
HKN,medium_airport,Hoskins Airport,yes
HIT,small_airport,Haivaro Airport,no
HWA,small_airport,Hawabango Airport,no
IIS,small_airport,Nissan Island Airport,no
IDN,small_airport,Indagen Airport,no
IMN,small_airport,Imane Airport,no
KGM,small_airport,Kungim Airport,no
IMD,small_airport,Imonda Airport,no
KIE,small_airport,Aropa Airport,yes
IAL,small_airport,Ialibu Airport,no
WSA,small_airport,Wasua Airport,no
WIU,small_airport,Witu Airport,no
MPX,small_airport,Miyanmin Airport,no
KGH,small_airport,Yongai Airport,no
JOP,small_airport,Josephstaal Airport,no
LSA,small_airport,Losuia Airport,yes
KBM,small_airport,Kabwum,no
KDR,small_airport,Kandrian Airport,no
KMF,small_airport,Kamina Airport,no
KPA,small_airport,Kopiago Airport,no
KAQ,small_airport,Kamulai Airport,no
UNG,small_airport,Kiunga Airport,yes
KNE,small_airport,Kanainj Airport,no
KRI,small_airport,Kikori Airport,yes
KMA,medium_airport,Kerema Airport,yes
KKD,small_airport,Kokoda Airport,no
KGW,small_airport,Kagi Airport,no
KRX,small_airport,Kar Kar Airport,no
KZF,small_airport,Kaintiba Airport,no
KUQ,small_airport,Kuri Airport,no
KVG,medium_airport,Kavieng Airport,yes
KWO,small_airport,Kawito Airport,no
LNV,small_airport,Londolovit Airport,yes
LAB,small_airport,Lab Lab Airport,no
KEG,small_airport,Keglsugl Airport,no
KII,small_airport,Kibuli Airstrip,no
LGN,small_airport,Linga Linga Airport,no
LNM,small_airport,Langimar Airport,no
LWI,small_airport,Lowai Airport,no
LPN,small_airport,Leron Plains Airport,no
LNG,small_airport,Lese Airport,no
LNC,small_airport,Lengbati Airport,no
LMI,small_airport,Lumi Airport,no
LSJ,small_airport,Long Island Airport,no
AYM,seaplane_base,Yas Island Seaplane Base,no
MRM,small_airport,Manari Airport,no
OBM,small_airport,Morobe Airport,no
MYX,small_airport,Menyamya Airport,no
MAG,medium_airport,Madang Airport,yes
HGU,medium_airport,Mount Hagen Kagamuga Airport,yes
MXK,small_airport,Mindik Airport,no
MPG,small_airport,Makini Airport,no
GUV,small_airport,Mougulu Airport,no
MDU,medium_airport,Mendi Airport,yes
MAS,medium_airport,Momote Airport,yes
MLQ,small_airport,Malalaua Airport,no
MQO,small_airport,Malam Airport,no
MXH,small_airport,Moro Airport,yes
MIS,small_airport,Misima Island Airport,yes
MKN,small_airport,Malekolon Airport,no
MWG,small_airport,Marawaka Airport,no
MPU,small_airport,Mapua(Mabua) Airport,no
NKN,small_airport,Nankina Airport,no
KEX,small_airport,Kanabea Airport,no
NDN,small_airport,Nadunumu Airport,no
AUI,small_airport,Aua Island Airport,no
GBF,small_airport,Negarbo(Negabo) Airport,no
MFO,small_airport,Manguna Airport,no
NUG,small_airport,Nuguria Airstrip,no
NDI,small_airport,Namudi Airport,no
KSB,small_airport,Kasonombe Airport,no
KDP,small_airport,Kandep Airport,no
NMN,small_airport,Nomane Airport,no
BXZ,small_airport,Bunsil Airport,no
UKU,small_airport,Nuku Airport,no
ATN,small_airport,Namatanai Airport,no
NBA,small_airport,Nambaiyufa Airport,no
LAE,medium_airport,Nadzab Airport,yes
OBX,small_airport,Obo Airport,yes
KGB,small_airport,Konge Airport,no
OKV,small_airport,Okao Airport,no
OGE,small_airport,Ogeranang Airport,no
OKP,small_airport,Oksapmin Airport,no
HOC,small_airport,Komako Airport,no
KQL,small_airport,Kol Airport,no
OSE,small_airport,Omora Airport,no
KOM,small_airport,Komo-Manda Airport,no
KSP,small_airport,Kosipe Airport,no
KCJ,small_airport,Komaio Airport,no
OLQ,small_airport,Olsobip Airport,no
KDE,small_airport,Koroba Airport,no
OPB,small_airport,Open Bay Airport,no
PLE,small_airport,Paiela Airport,no
PGB,small_airport,Pangoa Airport,no
PDI,small_airport,Pindiu Airport,no
APR,small_airport,April River Airport,no
PGN,small_airport,Pangia Airport,no
PMP,small_airport,Pimaga Airport,no
MPF,small_airport,Mapoda Airport,no
PMN,small_airport,Pumani Airport,no
WLU,small_airport,Walluanda Airport,no
POM,large_airport,Port Moresby Jacksons International Airport,yes
KRJ,small_airport,Karawari Airstrip,no
TLP,small_airport,Tumolbil Airport,no
SPH,small_airport,Sopu Airport,no
ONB,small_airport,Ononge Airport,no
SXA,small_airport,Sialum Airport,no
KIQ,small_airport,Kira Airport,no
RBP,small_airport,Raba Raba Airport,no
RMN,small_airport,Rumginae Airport,no
KMR,small_airport,Karimui Airport,no
RKU,small_airport,Kairuku Airport,no
MWI,small_airport,Maramuni Airport,no
KOR,small_airport,Kakoro(Koroko) Airstrip,no
MRH,small_airport,May River Airstrip,no
SBE,small_airport,Suabi Airport,no
SDI,small_airport,Saidor Airport,no
NIS,small_airport,Simberi Airport,no
SFU,small_airport,Safia Airport,no
SIL,small_airport,Sila Airport,no
SBV,small_airport,Sabah Airport,no
SIM,small_airport,Simbai Airport,no
SGK,small_airport,Sengapi Airstrip,no
SXH,small_airport,Sehulea Airport,no
SBC,small_airport,Selbang Airport,no
SMH,small_airport,Sapmanga Airport,no
SPV,small_airport,Sepik Plains Airport,no
TDS,small_airport,Sasereme Airport,yes
SKC,small_airport,Suki Airport,no
SXW,small_airport,Sauren Airport,no
SWG,small_airport,Satwag Airport,no
MBV,small_airport,Masa Airport,no
TIZ,small_airport,Tari Airport,yes
TBG,small_airport,Tabubil Airport,yes
TFM,small_airport,Telefomin Airport,no
TDB,small_airport,Tetebedi Airport,no
TGL,small_airport,Tagula Airport,no
TFB,small_airport,Tifalmin Airport,no
TPI,small_airport,Tapini Airport,yes
RAB,medium_airport,Tokua Airport,yes
TKW,small_airport,Tekin Airport,no
KDQ,small_airport,Kamberatoro Airport,no
TEP,small_airport,Tep Tep Airport,no
TBQ,small_airport,Tarabo Airport,no
TSW,small_airport,Tsewi Airport,no
TRJ,small_airport,Tarakbits Airport,no
TFI,small_airport,Tufi Airport,yes
TBE,small_airport,Timbunke Airport,no
TWY,small_airport,Tawa Airport,no
TEO,small_airport,Terapo Airport,no
TKB,small_airport,Tekadu Airport,no
UMC,small_airport,Umba Airport,no
URU,small_airport,Uroubi Airport,no
UBI,small_airport,Buin Airport,no
AUV,small_airport,Aumo Airport,no
GLP,small_airport,Gulgubip Airport,no
UPR,small_airport,Upiara Airport,no
KUX,small_airport,Kuyol Airport,no
UVO,small_airport,Uvol Airport,no
TLW,small_airport,Talasea Airport,no
TCJ,small_airport,Torembi Airport,no
VAI,medium_airport,Vanimo Airport,yes
TON,small_airport,Tonu Airport,no
WUV,small_airport,Wuvulu Island Airport,no
WAO,small_airport,Wabo Airport,no
WTT,small_airport,Wantoat Airport,no
WBM,medium_airport,Wapenamanda Airport,yes
WAJ,small_airport,Wawoi Falls Airport,no
AGL,small_airport,Wanigela Airport,no
WNU,small_airport,Wanuma Airport,no
WBC,small_airport,Wapolu Airport,no
WWK,medium_airport,Wewak International Airport,yes
WOA,small_airport,Wonenara Airport,no
WKN,small_airport,Wakunai Airport,no
WSU,small_airport,Wasu Airport,no
WTP,small_airport,Woitape Airport,no
WUG,small_airport,Wau Airport,no
YVD,small_airport,Yeva Airport,no
SMJ,small_airport,Sim Airport,no
TLO,small_airport,Tol Airport,no
WPM,small_airport,Wipim Airport,no
WEP,small_airport,Weam Airport,no
AYY,seaplane_base,Arugam Bay SPB,no
KYX,small_airport,Yalumet Airport,no
YEQ,small_airport,Yenkis(Yankisa) Airport,no
TCK,small_airport,Tinboli Airport,no
LNF,small_airport,Munbil Airport,no
RAX,small_airport,Oram Airport,no
KPE,small_airport,Yapsiei Airport,no
KSX,small_airport,Yasuru Airport,no
ZEN,small_airport,Zenag Airport,no
SWR,small_airport,Silur Airport,no
WUM,small_airport,Wasum Airport,no
SIZ,small_airport,Sissano Airport,no
OSG,small_airport,Ossima Airport,no
ZXT,medium_airport,Zabrat Airport,no
HAE,heliport,Lava Falls Heliport,no
AZB,small_airport,Amazon Bay Airport,no
BAJ,small_airport,Bali Airport,no
BCW,medium_airport,Benguera Island Airport,no
BCZ,small_airport,Milyakburra Airport,no
JAM,medium_airport,Bezmer Air Base,no
JEG,medium_airport,Aasiaat Airport,yes
AOQ,heliport,Aappilattoq Heliport,yes
AGM,heliport,Tasiilaq Heliport,yes
LLU,heliport,Alluitsup Paa Heliport,yes
QUV,heliport,Aappilattoq Heliport,yes
JRK,heliport,Arsuk Heliport,no
QUW,heliport,Ammassivik Heliport,yes
QGQ,heliport,Attu Heliport,yes
UAK,medium_airport,Narsarsuaq Airport,yes
JCH,heliport,Qasigiannguit Heliport,yes
CNP,small_airport,Neerlerit Inaat Airport,yes
QFG,heliport,Eqalugaarsuit Heliport,yes
QFN,heliport,Narsarmijit Heliport,yes
JGR,heliport,Kangilinnguit Heliport,yes
GOH,medium_airport,Nuuk Airport,yes
JGO,heliport,Qeqertarsuaq Heliport,yes
